host_guid,host_taxon,host_collection,host_group,parasite_record_count,parasite_taxon_count,latitude,longitude,mappable,min_year,max_year,host_url
MSB:Mamm:350456,Callospermophilus lateralis,MSB:Mamm,Mammal,2,2,36.742955,-105.452765,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350456
MSB:Mamm:350457,Callospermophilus lateralis,MSB:Mamm,Mammal,1,1,36.74316002,-105.45325,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350457
MSB:Mamm:350459,Callospermophilus lateralis,MSB:Mamm,Mammal,1,1,36.74418898,-105.451144,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350459
MSB:Mamm:350461,Callospermophilus lateralis,MSB:Mamm,Mammal,2,2,36.74399,-105.451751,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350461
MSB:Mamm:350463,Neotamias minimus,MSB:Mamm,Mammal,1,1,36.74276699,-105.453353,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350463
MSB:Mamm:350464,Neotamias quadrivittatus,MSB:Mamm,Mammal,1,1,36.74469802,-105.450466,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350464
MSB:Mamm:350473,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74351902,-105.452159,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350473
MSB:Mamm:350475,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74297,-105.45275,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350475
MSB:Mamm:350469,Neotamias quadrivittatus,MSB:Mamm,Mammal,1,1,36.74273598,-105.453129,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350469
MSB:Mamm:350471,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74484503,-105.450178,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350471
MSB:Mamm:350476,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74355598,-105.452092,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350476
MSB:Mamm:350477,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.73965999,-105.456706,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350477
MSB:Mamm:350539,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.834334,-105.31224,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350539
