parasite_guid,parasite_name,parasite_genus,parasite_species,date,year,host_guid,host_taxon,host_collection,host_group,host_sex,host_age,location_in_host,parasite_life_stage,parasite_sex,individual_count,experimental,parasite_url,host_url,latitude,longitude,mappable
MSB:Para:15792,Toxascaris,Toxascaris,,1 March '59,,UAM:Mamm:12314,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15792,https://arctos.database.museum/guid/UAM:Mamm:12314,63.775,-171.693056,True
MSB:Para:15793,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,1 March '59,,UAM:Mamm:12315,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15793,https://arctos.database.museum/guid/UAM:Mamm:12315,63.775,-171.693056,True
MSB:Para:15794,Taenia,Taenia,,1 March '59,,UAM:Mamm:12315,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15794,https://arctos.database.museum/guid/UAM:Mamm:12315,63.775,-171.693056,True
MSB:Para:15795,Toxascaris,Toxascaris,,1 March '59,,UAM:Mamm:12315,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15795,https://arctos.database.museum/guid/UAM:Mamm:12315,63.775,-171.693056,True
MSB:Para:15796,Uncinaria,Uncinaria,,1 March '59,,UAM:Mamm:12315,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15796,https://arctos.database.museum/guid/UAM:Mamm:12315,63.775,-171.693056,True
MSB:Para:15797,Taenia,Taenia,,5 Dec '59,,UAM:Mamm:12358,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15797,https://arctos.database.museum/guid/UAM:Mamm:12358,63.681996,-170.482323,True
MSB:Para:15798,Toxascaris,Toxascaris,,5 Dec '59,,UAM:Mamm:12358,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15798,https://arctos.database.museum/guid/UAM:Mamm:12358,63.681996,-170.482323,True
MSB:Para:15799,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,9 Dec '59,,UAM:Mamm:12359,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15799,https://arctos.database.museum/guid/UAM:Mamm:12359,63.681996,-170.482323,True
MSB:Para:1580,Cestoda,,,Aug 27 '55,,MSB:Host:10583,Glaucous-winged Gull (L. hyperboreas),MSB:Host,Host collection,male,,small intestine,,,,,https://arctos.database.museum/guid/MSB:Para:1580,https://arctos.database.museum/guid/MSB:Host:10583,,,False
MSB:Para:15800,Taenia,Taenia,,9 Dec '59,,UAM:Mamm:12359,Alopex,UAM:Mamm,Mammal,male,,,,,,,https://arctos.database.museum/guid/MSB:Para:15800,https://arctos.database.museum/guid/UAM:Mamm:12359,63.681996,-170.482323,True
