host_guid,host_species,host_genus,part_name,part_id,part_remark,preservation,condition,part_count,parsed_flea_count,parsed_mite_count,parsed_tick_count,parsed_louse_count,parsed_nematode_count,parsed_cestode_count,parsed_trematode_count
KSB:Mamm:5384,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5384/PID33702680,,,unknown,1,,,,,,,
KSB:Mamm:5385,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5385/PID33702681,,,unknown,1,,,,,,,
KSB:Mamm:5386,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5386/PID33702672,,,unknown,1,,,,,,,
KSB:Mamm:5388,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5388/PID33702684,,,unknown,1,,,,,,,
KSB:Mamm:5389,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5389/PID33702682,,,unknown,1,,,,,,,
KSB:Mamm:5390,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5390/PID33702685,,,unknown,1,,,,,,,
KSB:Mamm:5391,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5391/PID33702683,,,unknown,1,,,,,,,
KSB:Mamm:5393,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5393/PID33702686,,,unknown,1,,,,,,,
KSB:Mamm:5416,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5416/PID33702695,,,unknown,1,,,,,,,
KSB:Mamm:5425,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5425/PID33702693,,,unknown,1,,,,,,,
KSB:Mamm:5627,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5627/PID33702599,,,unknown,1,,,,,,,
KSB:Mamm:5634,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5634/PID33702687,,,unknown,1,,,,,,,
KSB:Mamm:5635,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5635/PID33702689,,,unknown,1,,,,,,,
